"frame","time","stimulus","event","trial"
2,138305,"Start","0",NA
863,168306,"CS","On",0
920,170306,"US","On",0
972,172306,"US","Off",0
973,172306,"CS","Off",0
1867,203307,"CS","On",1
1925,205307,"US","On",1
1984,207307,"US","Off",1
1984,207307,"CS","Off",1
2477,224308,"CS","On",2
2535,226308,"US","On",2
2594,228308,"US","Off",2
2594,228308,"CS","Off",2
3199,249309,"CS","On",3
3257,251309,"US","On",3
3315,253309,"US","Off",3
3315,253309,"CS","Off",3
4213,284310,"CS","On",4
4271,286310,"US","On",4
4329,288310,"US","Off",4
4329,288310,"CS","Off",4
4813,305311,"CS","On",5
4871,307311,"US","On",5
4929,309311,"US","Off",5
4929,309311,"CS","Off",5
5623,333312,"CS","On",6
5681,335312,"US","On",6
5739,337312,"US","Off",6
5740,337312,"CS","Off",6
6232,354313,"CS","On",7
6290,356313,"US","On",7
6349,358313,"US","Off",7
6349,358313,"CS","Off",7
6954,379314,"CS","On",8
7012,381314,"US","On",8
7070,383314,"US","Off",8
7070,383314,"CS","Off",8
7552,400315,"CS","On",9
7609,402315,"US","On",9
7667,404315,"US","Off",9
7667,404315,"CS","Off",9
8302,426316,"CS","On",10
8359,428316,"US","On",10
8417,430316,"US","Off",10
8417,430316,"CS","Off",10
9092,454317,"CS","On",11
9150,456317,"US","On",11
9209,458317,"US","Off",11
9209,458317,"CS","Off",11
9688,475318,"CS","On",12
9746,477318,"US","On",12
9804,479318,"US","Off",12
9804,479318,"CS","Off",12
10524,504320,"CS","On",13
10582,506319,"US","On",13
10641,508319,"US","Off",13
10642,508319,"CS","Off",13
10642,508320,"CS","On",14
10643,508320,"US","On",14
10643,508320,"US","Off",14
10643,508320,"CS","Off",14
11105,524321,"CS","On",15
11163,526321,"US","On",15
11222,528321,"US","Off",15
11222,528321,"CS","Off",15
11978,554322,"CS","On",16
12036,556322,"US","On",16
12095,558322,"US","Off",16
12095,558322,"CS","Off",16
12589,575323,"CS","On",17
12648,577323,"US","On",17
12706,579323,"US","Off",17
12706,579323,"CS","Off",17
13638,611324,"CS","On",18
13696,613324,"US","On",18
13754,615324,"US","Off",18
13755,615324,"CS","Off",18
14306,634326,"CS","On",19
14365,636325,"US","On",19
14423,638325,"US","Off",19
14423,638325,"CS","Off",19
15147,663326,"CS","On",20
15205,665326,"US","On",20
15263,667326,"US","Off",20
15264,667326,"CS","Off",20
15725,683327,"CS","On",21
15782,685327,"US","On",21
15840,687327,"US","Off",21
15840,687327,"CS","Off",21
16667,716328,"CS","On",22
16723,718328,"US","On",22
16781,720328,"US","Off",22
16781,720328,"CS","Off",22
17668,751329,"CS","On",23
17726,753329,"US","On",23
17783,755329,"US","Off",23
17783,755329,"CS","Off",23
18267,772330,"CS","On",24
18324,774330,"US","On",24
18382,776330,"US","Off",24
18382,776330,"CS","Off",24
18836,792331,"CS","On",25
18893,794331,"US","On",25
18950,796331,"US","Off",25
18950,796331,"CS","Off",25
19437,813332,"CS","On",26
19495,815332,"US","On",26
19552,817332,"US","Off",26
19553,817332,"CS","Off",26
20012,833333,"CS","On",27
20069,835333,"US","On",27
20126,837334,"US","Off",27
20127,837334,"CS","Off",27
20614,854335,"CS","On",28
20671,856335,"US","On",28
20729,858335,"US","Off",28
20729,858335,"CS","Off",28
21332,879336,"CS","On",29
21390,881336,"US","On",29
21448,883336,"US","Off",29
21448,883336,"CS","Off",29
